"Date","Operator","Aircraft","Location","Fatalities","Registration"
2003-01-08,"","Beechcraft 1900D","Charlotte-Douglas, North Carolina",21,"N233YV"
1999-03-07,"","Antonov AN-32","New Delhi-Indira Gandhi, National Capital Territory of Delhi",21,"K2673"
2007-03-07,"","Boeing 737-400","Yogyakarta, Special Region of Yogyakarta",21,"PK-GZC"
2008-05-02,"","Beechcraft 1900C","Rumbek, Lakes (البحيرات)",21,"5Y-FLX"
2020-08-07,"","Boeing 737-800","Kozhikode-Calicut, Kerala",21,"VT-AXH"
2001-03-03,"","Short 330","Unadilla, Georgia",21,"93-1336"
2013-01-29,"","Canadair RegionalJet CRJ-200","Almaty, Almaty Province",21,"UP-CJ006"
1999-10-29,"","Lockheed P-3 Orion","Pasni, Baluchestan (بلوچستان)",21,"83"
2003-08-24,"","Let L-410","Cap-Haïtien, North",21,"HH-PRV"
2010-11-05,"","Beechcraft 1900C","Karachi-Muhammad Ali Jinnah-Quaid-e-Azam, Sindh (سنڌ سندھ)",21,"AP-BJD"
2011-09-02,"","Casa 212 Aviocar","Robinson Crusoe Island, Región de Valparaíso",21,"966"
2010-08-25,"","Let L-410","Bandundu, Bandundu",20,"9Q-CCN"
1996-07-09,"","De Havilland DHC-6 Twin Otter","Mendi, Southern Highlands",20,"P2-MBB"
1995-12-07,"Air Saint-Martin","Beechcraft 1900D","Mt La Selle, West",20,"F-OHRK"
1996-04-05,"","Ilyushin II-76","Petropavlovsk-Kamchatsky, Kamchatka Krai",20,"RA-76752"
2001-03-24,"","De Havilland DHC-6 Twin Otter","Saint-Barthélemy-Rémy de Haenen (Saint-Jean-Gustave III), Saint-Barthélemy",20,"F-OGES"
2018-08-04,"","Junkers JU.52","Piz Segnas, Glarus",20,"HB-HOT"
